,Section Description,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
1,"Agriculture, forestry and fishing",8371.9,8430.1,8410.9,8080.9,8583.6,8595.8,8750.0,7898.3,8179.8,8198.1,7386.0,7254.2,7306.9,8008.2,7978.0,7881.3,7602.6,7431.9,7244.6,7108.7,7199.9,7292.2,7279.4,7049.7,7790.2,8024.1,8415.7,8524.4,8626.7,8847.1,8271.7
2,Mining and quarrying,22015.5,22031.1,22727.5,24035.2,26619.8,26510.1,28897.8,28856.3,29639.2,28956.3,28726.2,29068.3,29417.4,27266.0,26461.4,26158.4,24148.0,23689.7,23024.6,22566.4,22500.7,20060.2,18487.2,18151.2,18164.7,19769.4,19506.8,19793.8,19588.8,19678.0,17015.4
3,Manufacturing,138696.8,139348.9,136678.3,134442.3,136231.3,134553.3,135772.9,133690.6,127920.5,130183.5,126800.1,121571.6,115232.0,118278.0,118036.5,118241.7,114452.0,114038.4,106261.4,90735.5,93657.8,90322.5,87228.4,89755.5,89301.5,86486.7,82055.7,82967.1,81922.9,81139.3,74229.3
4,"Electricity, gas, steam and air conditioning supply",205926.3,202767.7,190866.3,173807.2,170584.8,168751.6,168889.1,154942.0,160759.8,153479.3,165408.6,176943.7,172398.9,182719.7,182343.0,184021.8,192354.1,187886.1,183628.4,162231.7,169517.1,156865.9,171269.5,162432.8,141546.1,125634.6,104338.6,94302.8,90114.2,84242.4,76720.8
5,"Water supply; sewerage, waste management and remediation activities",4255.5,5131.9,5137.7,4805.0,4494.7,4303.9,4537.6,3421.7,5608.3,3796.4,4060.2,4094.5,3698.8,3470.0,3694.8,4167.5,3882.4,3842.4,3271.0,3132.1,3303.5,3257.9,3285.9,3356.3,3523.7,3814.2,4205.3,4521.8,4571.7,4546.4,4358.1
6,Construction,9352.5,9333.5,9449.2,9595.6,10046.9,10182.2,10489.6,10773.0,11045.7,11314.2,11523.1,11853.3,11926.1,12170.8,12728.8,12771.7,13023.9,13396.3,13581.1,12020.4,12108.2,11489.2,12099.3,11338.3,11782.5,12792.0,13264.3,13759.7,13952.5,13546.8,12676
7,Wholesale and retail trade; repair of motor vehicles and motorcycles,11501.0,11886.6,11704.2,11954.4,12326.4,12464.5,12695.8,12436.4,12614.2,12880.6,12875.4,12475.9,11882.7,12103.1,11979.8,11926.8,11822.2,12111.7,12477.9,12391.9,12677.3,12221.4,12401.0,12125.4,12099.7,12507.9,12984.4,12802.4,12646.0,12462.8,11507.5
8,Transport and storage,64379.3,64887.6,65951.4,67244.5,68135.0,70889.4,76442.6,77695.5,80899.1,80790.8,82940.2,86218.9,87450.4,89447.1,94643.4,97603.4,89929.9,90901.1,89162.0,82094.4,82391.6,84853.8,79418.5,76654.9,79957.4,81964.6,82687.0,79106.0,85223.6,77786.0,46165.7
9,Accommodation and food services,2756.9,3209.1,3007.0,3197.7,3183.2,3299.9,3511.8,3145.7,3365.0,3577.4,3664.4,3686.2,3155.0,3369.5,3295.7,3296.8,3057.5,2992.1,3696.3,3004.9,3269.2,2905.0,3299.9,3382.1,2973.1,3217.9,3321.7,3292.7,3357.5,3343.9,3285.2
10,Information and communication,1064.2,1144.5,1123.4,1171.2,1211.1,1249.7,1264.0,1204.6,1228.9,1287.0,1290.2,1228.3,1105.4,1113.3,1069.4,1060.3,995.1,983.2,1060.2,888.2,913.9,855.5,871.1,826.6,778.6,795.3,815.9,777.1,751.2,741.8,683.3
11,Financial and insurance activities,316.0,349.1,330.7,346.2,342.3,348.5,354.6,316.5,323.0,339.0,336.7,328.3,278.9,285.6,271.9,263.9,242.6,237.1,270.8,217.2,227.8,206.2,221.4,217.0,194.1,203.2,207.7,199.2,196.4,194.7,185.9
12,Real estate activities,627.0,704.6,678.8,717.3,736.2,767.1,801.0,751.2,798.5,855.5,878.1,873.1,786.1,842.6,839.0,855.7,828.3,827.1,999.8,843.0,911.7,836.9,933.4,947.3,853.0,911.7,944.5,927.1,933.9,930.6,899.9
13,"Professional, scientific and technical activities",2215.9,2426.4,2347.7,2456.8,2508.5,2585.8,2616.0,2438.4,2502.3,2630.2,2639.0,2513.0,2212.3,2248.1,2156.0,2121.5,1994.1,1964.4,2219.5,1806.3,1888.1,1738.9,1853.2,1795.4,1644.7,1719.4,1766.6,1700.3,1669.9,1652.6,1559.7
