,Section Description,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
1,"Agriculture, forestry and fishing",0.0,0.1,0.1,0.2,0.3,0.5,0.7,1.0,1.3,1.8,2.5,3.7,5.6,7.8,10.5,12.9,15.3,18.3,19.9,22.0,24.3,25.4,27.2,26.4,26.7,25.0,24.2,24.4,23.0,22.9,22.1
2,Mining and quarrying,0.1,0.2,0.3,0.5,0.7,0.9,1.1,1.4,1.7,2.1,2.6,3.1,3.6,4.2,4.7,5.4,5.9,6.5,6.8,7.1,7.3,7.7,8.1,7.5,7.6,7.0,6.5,5.9,5.5,5.3,5
3,Manufacturing,14392.6,14987.8,15583.7,16182.6,16802.4,17726.6,18191.6,19900.8,15562.3,6506.1,3793.7,3635.9,3311.8,3444.4,1567.1,1627.8,1631.9,1416.0,1264.9,1263.6,1307.8,1302.9,1306.8,1322.3,1309.8,1294.7,1272.8,1265.5,1240.6,1180.4,1156.7
4,"Electricity, gas, steam and air conditioning supply",0.0,0.1,0.1,0.2,0.4,0.5,0.6,0.8,1.0,1.3,1.7,2.1,2.7,3.4,3.9,4.6,5.3,6.3,6.8,8.5,9.3,9.9,10.4,10.2,10.0,10.1,10.0,10.1,9.9,9.2,8.9
5,"Water supply; sewerage, waste management and remediation activities",0.3,0.7,1.3,4.5,19.1,35.3,53.0,75.2,108.1,159.0,178.1,211.7,242.9,257.7,287.2,341.4,433.2,541.0,658.9,841.7,1043.6,1307.3,1602.2,1912.5,2214.8,2485.3,2744.4,2947.4,3081.3,3125.2,3076.4
6,Construction,0.4,1.1,2.3,3.7,5.6,7.9,10.2,13.3,16.9,21.7,28.6,36.6,47.3,59.3,73.0,88.7,103.4,119.9,132.8,139.4,143.9,152.0,153.3,153.8,154.2,148.4,145.9,142.9,134.5,130.5,123
7,Wholesale and retail trade; repair of motor vehicles and motorcycles,1.5,4.4,8.8,13.8,26.5,75.1,183.5,357.3,596.9,883.1,1188.1,1492.0,1815.7,2164.8,2524.1,2856.7,3221.7,3583.6,3873.8,4118.7,4361.7,4552.2,4699.5,4695.9,4575.1,4356.8,4164.1,3958.1,3719.5,3437.2,3402.2
8,Transport and storage,0.6,1.9,3.8,5.9,8.9,13.6,22.6,40.2,65.6,106.4,151.4,197.7,244.2,293.3,354.7,404.1,446.0,505.3,562.4,583.9,612.4,694.3,751.3,786.3,806.4,820.5,839.6,827.0,789.2,755.2,707.2
9,Accommodation and food services,0.1,0.4,0.8,1.2,2.3,6.6,11.0,15.9,21.4,28.0,36.8,49.8,68.1,89.3,104.7,152.0,169.6,188.6,208.6,220.9,232.1,272.6,268.0,272.1,276.8,271.6,273.6,275.2,255.7,238.5,202
10,Information and communication,0.3,0.8,1.5,2.4,3.6,5.0,6.4,8.3,10.6,13.3,18.3,26.0,35.9,46.4,52.8,58.8,66.7,74.8,81.9,85.9,92.4,98.9,101.7,106.0,108.5,105.5,105.2,105.4,100.1,97.4,93.4
11,Financial and insurance activities,0.0,0.1,0.3,0.4,0.7,1.1,1.6,2.3,3.2,4.4,7.0,13.1,21.6,30.9,35.9,38.5,44.4,51.7,56.8,59.5,63.3,69.9,73.5,73.6,73.4,69.4,69.3,67.5,65.5,64.8,64
12,Real estate activities,0.1,0.3,0.6,0.9,1.4,1.9,2.4,3.0,3.8,4.7,6.3,8.6,11.9,15.9,19.1,22.1,24.1,29.1,33.0,37.8,39.2,43.1,47.3,50.2,49.4,48.3,46.4,46.1,46.3,45.6,45.2
13,"Professional, scientific and technical activities",0.5,1.5,3.0,4.6,6.9,9.5,12.2,15.7,19.6,24.4,32.8,44.9,61.2,79.0,92.4,105.0,121.1,136.1,152.9,163.5,174.1,189.2,198.6,208.8,213.7,212.6,214.1,207.6,203.6,199.2,191.2
14,Administrative and support service activities,0.3,1.0,2.0,3.2,4.8,6.8,8.9,11.9,15.1,19.2,27.2,39.9,57.7,76.8,92.6,105.6,122.2,140.1,157.0,157.6,174.1,188.8,202.8,205.7,214.4,212.6,209.7,209.4,200.6,193.0,175.7
15,Public administration and defence; compulsory social security,0.7,2.2,4.6,7.6,7.0,7.0,9.7,9.8,13.1,15.7,20.8,29.7,42.9,61.5,70.8,73.5,85.8,95.3,102.1,128.0,137.1,131.8,133.8,131.6,121.4,111.1,107.2,103.4,103.1,99.3,100.6
16,Education,0.1,0.2,0.3,0.5,0.9,1.4,2.3,3.3,4.7,6.8,11.8,22.9,40.5,62.1,74.4,83.7,93.8,107.1,118.9,132.0,146.5,157.2,168.2,173.0,171.3,165.7,161.4,161.1,157.4,151.1,142.2
17,Human health and social work activities,0.1,0.3,0.6,1.0,1.6,2.5,3.9,5.7,7.7,10.5,17.4,32.2,54.3,82.9,100.9,113.4,130.7,148.0,165.0,191.7,213.6,231.3,249.4,259.9,260.0,250.1,247.8,247.7,242.4,234.8,226.5
18,"Arts, entertainment and recreation",0.1,0.2,0.4,0.7,1.0,1.5,2.0,2.7,3.4,4.4,6.4,10.0,15.5,21.3,25.4,28.1,32.6,37.0,41.1,44.1,49.2,51.6,55.1,56.6,56.2,54.3,55.7,55.3,52.8,51.2,43.4
19,Other service activities,0.1,0.3,0.7,1.0,1.6,2.2,2.9,3.8,4.9,6.2,8.7,12.7,18.9,25.5,28.8,31.2,35.3,37.8,41.1,43.4,46.3,49.2,48.8,51.4,49.7,48.6,47.1,45.3,44.3,43.2,38.2
20,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,0.0,0.0,0.1,0.2,0.2,0.3,0.4,0.5,0.6,0.7,1.1,1.3,1.6,1.9,2.2,2.6,2.5,2.3,2.4,2.2,3.1,3.1,3.1,3.2,3.4,3.2,3.6,3.3,3.3,2.8,1.7
21,Consumer expenditure,1.5,4.9,10.5,164.1,405.1,653.3,942.9,1219.7,1566.6,1912.1,2213.0,2540.8,2616.7,2662.9,2778.9,2904.0,3101.0,3053.8,3008.6,2949.9,2886.1,2843.1,2874.9,2898.7,2880.8,2872.5,2816.0,2755.5,2649.9,2413.3,2206.6
22,"Products of agriculture, hunting and related services",0.0,0.0,0.1,0.1,0.2,0.3,0.4,0.7,0.8,1.2,1.7,2.8,4.4,6.4,8.9,11.1,13.2,15.8,17.4,19.3,21.4,22.4,24.0,23.2,23.4,21.8,21.0,21.4,20.3,20.1,
23,"Products of forestry, logging and related services",0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.1,1.3,1.4,1.5,1.5,1.6,1.8,1.7,1.8,1.8,1.8,1.6,1.5,1.5,
24,Fish and other fishing products; aquaculture products; support services to fishing,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.4,0.5,0.5,0.7,0.7,0.9,1.0,1.2,1.2,1.2,1.4,1.4,1.5,1.4,1.5,1.4,1.5,1.3,1.3,1.2,
25,Mining of coal and lignite,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.3,0.3,0.2,0.1,0.1,0.1,0.1,
26,Crude petroleum and natural gas,0.0,0.1,0.2,0.3,0.5,0.6,0.8,1.0,1.2,1.4,1.7,2.0,2.3,2.6,3.0,3.4,3.7,4.1,4.3,4.4,4.5,4.7,4.8,4.7,4.7,4.3,4.1,3.6,3.3,3.1,
27,Mining of metal ores,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
28,Other mining and quarrying products,0.0,0.0,0.1,0.1,0.2,0.2,0.3,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0,1.2,1.3,1.4,1.4,1.4,1.3,1.4,1.5,1.3,1.3,1.3,1.2,1.1,1.1,1.2,
29,Mining support services,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.4,0.5,0.7,0.7,0.9,1.0,1.1,1.2,1.3,1.2,1.4,1.2,1.0,0.9,0.9,0.8,
30,Processing and preserving of meat and production of meat products,0.0,0.0,0.1,0.1,0.1,0.7,2.7,7.9,18.0,29.5,41.0,49.2,54.2,64.8,70.9,76.0,81.2,87.3,87.1,87.4,94.2,93.2,96.8,103.2,109.1,106.9,103.4,97.0,91.7,89.0,
31,"Processing and preserving of fish, crustaceans, molluscs, fruit and vegetables",0.0,0.0,0.1,0.1,0.2,0.6,2.1,5.2,10.6,17.3,27.4,30.1,35.2,40.3,43.4,48.6,50.7,54.0,57.3,58.6,62.4,59.7,61.1,63.4,64.5,66.0,66.3,59.6,55.2,52.8,
32,Manufacture of vegetable and animal oils and fats,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.7,0.9,1.2,2.0,2.5,2.4,2.6,2.3,1.8,1.8,1.9,2.0,1.9,2.5,2.8,2.7,2.8,2.4,2.5,2.6,2.3,2.4,
33,Manufacture of dairy products,0.0,0.0,0.0,0.0,0.1,0.3,1.1,3.3,6.7,11.3,15.1,16.7,16.6,19.9,21.6,24.2,24.6,26.7,27.4,28.1,32.2,31.4,32.6,33.3,30.2,31.7,29.5,28.2,26.5,27.4,
34,"Manufacture of grain mill products, starches and starch products",0.0,0.0,0.0,0.0,0.0,0.1,0.4,1.2,2.4,4.1,5.5,6.7,8.8,9.7,10.3,11.5,12.3,12.8,13.0,13.2,14.2,14.6,14.6,14.8,14.4,13.9,13.3,12.6,12.3,11.8,
35,Manufacture of bakery and farinaceous products,0.0,0.0,0.1,0.1,0.2,0.3,0.4,0.5,0.6,0.8,1.0,1.3,1.7,2.3,2.6,3.2,3.8,4.4,4.7,5.0,5.3,5.6,5.9,6.0,5.8,5.5,5.4,5.3,5.1,5.0,
36,Manufacture of other food products,0.0,0.1,0.1,0.2,0.2,0.8,3.1,8.1,15.2,26.2,36.7,47.7,54.1,59.5,63.5,67.5,74.1,81.8,82.2,97.0,107.2,116.0,119.1,129.3,131.4,126.2,124.2,119.9,110.7,112.4,
37,Manufacture of prepared animal feeds,0.0,0.0,0.0,0.0,0.1,0.2,0.7,1.5,3.2,5.0,6.8,7.7,8.6,10.3,10.7,11.8,13.4,14.9,15.4,16.0,18.3,17.7,17.3,19.4,19.2,20.0,18.6,18.2,17.3,16.6,
38,"Manufacture of alcoholic beverages, including spirits, wine, cider, beer and malt",0.0,0.0,0.1,0.1,0.2,0.4,1.2,3.5,6.9,11.4,15.6,19.9,21.9,24.3,24.9,26.7,30.1,32.6,34.8,36.7,36.8,36.5,38.4,40.6,43.9,41.6,39.0,39.2,42.0,38.8,
39,Manufacture of soft drinks: production of mineral waters and other bottled waters,0.0,0.1,0.1,0.2,0.2,0.4,0.7,1.3,3.0,5.0,6.5,8.0,9.1,11.0,12.1,13.5,13.9,14.0,14.0,15.1,14.0,14.6,15.4,15.1,15.7,15.2,13.5,15.8,15.6,16.1,
40,Tobacco products,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.0,0.1,0.0,
41,Textiles,0.0,0.1,0.1,0.2,0.2,0.3,0.4,0.5,0.7,0.8,1.1,1.3,1.7,2.1,2.5,2.7,2.9,3.2,3.4,3.6,3.8,3.7,3.8,3.8,4.0,3.3,3.3,3.6,3.1,3.4,
42,Wearing apparel,0.0,0.0,0.1,0.1,0.2,0.3,0.4,0.5,0.7,0.8,1.0,1.2,1.5,1.7,1.9,2.0,2.0,2.2,2.3,2.3,2.7,2.3,2.3,2.5,2.5,2.1,2.0,1.5,1.5,1.6,
43,Leather and related products,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.4,0.4,0.3,0.4,0.4,0.4,
44,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",0.0,0.1,0.1,0.2,0.3,0.4,0.5,0.7,0.9,1.1,1.4,1.8,2.2,2.8,3.3,4.0,4.5,5.2,5.4,5.5,6.2,5.8,6.2,6.2,6.4,5.8,6.1,5.6,5.1,5.3,
