,Industry,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,"Agriculture, forestry and fishing",0.013,0.012,0.013,0.012,0.013,0.012,0.011,0.012,0.013,0.014,0.014,0.012,0.013,0.012,0.014,0.015,0.019,0.022,0.034,0.037,0.044,0.053,0.082,0.126,0.205,0.343,0.408,0.496,0.531,0.556
2,Mining and quarrying,0.003,0.003,0.004,0.003,0.003,0.003,0.002,0.003,0.003,0.003,0.005,0.004,0.005,0.005,0.007,0.01,0.009,0.01,0.015,0.02,0.02,0.023,0.023,0.03,0.039,0.049,0.05,0.068,0.078,0.083
3,Manufacturing,0.536,0.516,0.528,0.512,0.848,0.91,0.891,0.919,0.802,0.748,0.588,0.505,0.628,0.713,0.875,0.666,0.76,0.748,0.853,1.014,1.217,1.451,1.429,1.705,2.217,2.638,2.779,3.421,3.933,4.126
4,"Electricity, gas, steam and air conditioning supply",0.325,0.343,0.444,0.552,0.757,0.798,0.817,1.001,1.281,1.476,1.653,1.892,1.987,2.164,2.42,3.1,3.162,3.216,3.469,3.742,4.023,4.318,4.726,5.372,6.324,7.801,8.182,8.332,9.263,10.072
5,"Water supply; sewerage, waste management and remediation activities",0.152,0.167,0.166,0.14,0.172,0.185,0.178,0.146,0.144,0.15,0.176,0.184,0.211,0.231,0.248,0.259,0.246,0.275,0.289,0.287,0.305,0.374,0.409,0.482,0.559,0.719,0.804,0.967,1.014,1.059
6,Construction,0.007,0.007,0.01,0.008,0.009,0.01,0.007,0.008,0.009,0.01,0.01,0.009,0.012,0.011,0.018,0.022,0.031,0.047,0.097,0.116,0.116,0.131,0.117,0.143,0.184,0.216,0.201,0.277,0.339,0.416
7,Wholesale and retail trade; repair of motor vehicles and motorcycles,0.024,0.02,0.024,0.021,0.025,0.025,0.019,0.026,0.03,0.037,0.037,0.029,0.036,0.03,0.048,0.057,0.075,0.1,0.162,0.208,0.204,0.245,0.25,0.319,0.384,0.478,0.485,0.634,0.763,0.894
8,Transport and storage,0.007,0.006,0.007,0.008,0.009,0.01,0.007,0.009,0.01,0.01,0.01,0.009,0.013,0.014,0.021,0.027,0.065,0.111,0.241,0.263,0.266,0.248,0.182,0.221,0.264,0.224,0.227,0.236,0.329,0.403
9,Accommodation and food services,0.013,0.011,0.014,0.012,0.014,0.014,0.01,0.015,0.016,0.014,0.014,0.011,0.013,0.009,0.009,0.012,0.015,0.02,0.026,0.035,0.034,0.058,0.074,0.103,0.146,0.187,0.185,0.202,0.223,0.254
10,Information and communication,0.006,0.005,0.006,0.006,0.007,0.006,0.005,0.007,0.008,0.009,0.008,0.009,0.007,0.008,0.009,0.01,0.013,0.018,0.024,0.031,0.031,0.047,0.05,0.077,0.083,0.106,0.098,0.125,0.144,0.164
11,Financial and insurance activities,0.008,0.007,0.008,0.007,0.008,0.008,0.006,0.009,0.009,0.009,0.009,0.009,0.01,0.006,0.012,0.015,0.015,0.018,0.022,0.025,0.029,0.047,0.055,0.065,0.085,0.105,0.106,0.14,0.145,0.164
12,Real estate activities,0.001,0.001,0.002,0.001,0.002,0.002,0.001,0.002,0.004,0.003,0.004,0.003,0.004,0.003,0.002,0.003,0.004,0.006,0.009,0.011,0.009,0.015,0.019,0.02,0.023,0.025,0.026,0.035,0.036,0.041
13,"Professional, scientific and technical activities",0.007,0.006,0.008,0.007,0.008,0.008,0.006,0.008,0.01,0.009,0.009,0.008,0.009,0.007,0.011,0.014,0.017,0.021,0.031,0.032,0.034,0.047,0.052,0.072,0.081,0.09,0.09,0.101,0.131,0.149
14,Administrative and support service activities,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.003,0.004,0.004,0.004,0.003,0.004,0.003,0.005,0.006,0.009,0.014,0.025,0.028,0.028,0.027,0.022,0.025,0.028,0.023,0.024,0.023,0.031,0.041
15,Public administration and defence; compulsory social security,0.01,0.01,0.013,0.009,0.011,0.01,0.008,0.009,0.01,0.011,0.01,0.009,0.01,0.009,0.014,0.015,0.016,0.02,0.027,0.029,0.028,0.034,0.04,0.041,0.045,0.037,0.031,0.032,0.025,0.018
16,Education,0.008,0.009,0.012,0.008,0.01,0.009,0.007,0.008,0.01,0.009,0.008,0.007,0.007,0.006,0.006,0.006,0.007,0.008,0.009,0.01,0.01,0.014,0.022,0.023,0.026,0.03,0.025,0.029,0.018,0.008
17,Human health and social work activities,0.008,0.009,0.011,0.008,0.01,0.009,0.007,0.008,0.01,0.01,0.008,0.007,0.007,0.005,0.007,0.01,0.012,0.015,0.021,0.024,0.022,0.034,0.05,0.06,0.066,0.056,0.05,0.051,0.034,0.013
18,"Arts, entertainment and recreation; other service activities",0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.003,0.005,0.006,0.005,0.005,0.006,0.004,0.006,0.009,0.009,0.012,0.015,0.016,0.016,0.021,0.03,0.028,0.032,0.029,0.022,0.025,0.024,0.018
19,Other service activities,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.002,0.002,0.003,0.002,0.002,0.002,0.002,0.003,0.003,0.005,0.006,0.011,0.012,0.012,0.014,0.015,0.02,0.02,0.026,0.03,0.041,0.035,0.041
20,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Consumer expenditure,0.365,0.378,0.404,0.441,0.488,0.522,0.595,0.586,0.647,0.688,0.74,0.797,0.813,0.863,0.971,1.095,1.197,1.327,1.71,2.011,2.478,2.494,2.975,3.601,3.759,4.256,4.373,4.83,5.442,5.954
